C-2015-12
"December 1, 2015 - December 31, 2015"
"Total: $ 39,831.69"


Date,Description,Currency,Amount,Category,Payment,Start/Stop Mileage,Receipt - Excel File Link
12/4/15,,USD,25.00,Haircut,Cash,,
12/4/15,,USD,6.30,Lunch,Cash,,
12/4/15,Iphone6s,USD,249.09,ConsumerElectronics,Cash,,
12/4/15,P2.499,USD,30.00,Fuel,Cash,,
12/4/15,,USD,36.00,Dinner,Cash,,
12/4/15,,USD,15.00,Laundry,Cash,,
12/4/15,,USD,7.70,Drinks,Cash,,
12/4/15,,USD,7.70,Drinks,Cash,,
12/4/15,,USD,8.62,Groceries,Cash,,
12/4/15,,USD,19.70,Drinks,Cash,,
12/4/15,,USD,8.75,Drinks,Cash,,
12/4/15,,USD,10.00,Snack,Cash,,
12/5/15,,USD,10.00,Drinks,Cash,,
12/5/15,,USD,7.00,Cover Charge,Cash,,
12/5/15,,USD,30.11,Groceries,Cash,,
12/5/15,,USD,8.63,Groceries,Cash,,
12/5/15,,USD,12.00,Drinks,Cash,,
12/5/15,,USD,7.00,Drinks,Cash,,
12/6/15,,USD,13.27,Groceries,Cash,,
12/6/15,,USD,6.75,Groceries,Cash,,
12/6/15,,USD,8.16,Dinner,Cash,,
12/7/15,,USD,55.00,Boxing,Cash,,
12/7/15,,USD,7.08,Lunch,Cash,,
12/8/15,,USD,9.49,Lunch,Cash,,
12/8/15,,USD,0.50,Snack,Cash,,
12/8/15,,USD,8.05,Groceries,Cash,,
12/8/15,P2.659,USD,10.00,Fuel,Cash,,
12/8/15,AirFreshoner,USD,5.47,Miscellaneous,Cash,,
12/9/15,,USD,9.00,Lunch,Cash,,
12/9/15,,USD,3.00,MiscSnack,Cash,,
12/9/15,,USD,16.74,Groceries,Cash,,
12/10/15,,USD,7.66,Lunch,Cash,,
12/10/15,P2.599,USD,15.00,Fuel,Cash,,
12/10/15,,USD,5.68,Groceries,Cash,,
12/10/15,,USD,16.27,DrewTime,Cash,,
12/11/15,,USD,8.19,Lunch,Cash,,
12/11/15,,USD,20.93,Laundry,Cash,,
12/11/15,,USD,7.95,Smokes,Cash,,
12/11/15,,USD,10.00,Cover Charge,Cash,,
12/11/15,,USD,7.00,Drinks,Cash,,
12/12/15,P2.379,USD,20.00,Fuel,Cash,,
12/12/15,,USD,23.95,BMWmaintenance,Cash,,
12/12/15,,USD,52.19,Lunch,Cash,,
12/12/15,,USD,17.37,Groceries,Cash,,
12/12/15,,USD,12.00,Drinks,Cash,,
12/12/15,,USD,19.00,Drinks,Cash,,
12/13/15,,USD,110.00,Spa,Cash,,
12/13/15,P2.599,USD,30.00,Fuel,Cash,,
12/13/15,,USD,50.00,Dinner,Cash,,
12/14/15,,USD,1.60,MiscSnack,Cash,,
12/14/15,,USD,8.31,Lunch,Cash,,
12/15/15,,USD,20.00,Rx,Cash,,
12/15/15,,USD,4.00,Lunch,Cash,,
12/15/15,,USD,2.92,Starbucks,Cash,,
12/15/15,,USD,34.27,Groceries,Cash,,
12/16/15,P2.629,USD,15.00,Fuel,Cash,,
12/16/15,,USD,13.92,Lunch,Cash,,
12/17/15,,USD,2.92,Starbucks,Cash,,
12/17/15,,USD,10.00,Lunch,Cash,,
12/17/15,,USD,20.25,DrewTime,Cash,,
12/18/15,,USD,10.28,Lunch,Cash,,
12/18/15,,USD,20.00,Rx,Cash,,
12/18/15,,USD,9.99,Groceries,Cash,,
12/18/15,,USD,1.33,Rx,Cash,,
12/18/15,,USD,2.57,Rx,Cash,,
12/18/15,P3.359,USD,15.00,Fuel,Cash,,
12/18/15,,USD,7.49,Smokes,Cash,,
12/18/15,,USD,8.00,Drinks,Cash,,
12/19/15,,USD,10.45,Drinks,Cash,,
12/19/15,,USD,3.45,Starbucks,Cash,,
12/19/15,,USD,18.00,Lunch,Cash,,
12/19/15,,USD,5.45,Groceries,Cash,,
